YYYY/MM/DD,HH:MM:SS,PM2.5
2024/04/22,04:00:00,32.2
2024/04/22,05:00:00,33.46
2024/04/22,06:00:00,34.74
2024/04/22,07:00:00,38.22
2024/04/22,08:00:00,47.03
2024/04/22,09:00:00,64.81
2024/04/22,10:00:00,88.98
2024/04/22,11:00:00,33.65
2024/04/22,12:00:00,20.53
2024/04/22,13:00:00,18.17
2024/04/22,14:00:00,19.94
2024/04/22,15:00:00,23.64
2024/04/22,16:00:00,23.63
2024/04/22,17:00:00,22.66
2024/04/22,18:00:00,23.53
2024/04/22,19:00:00,24.05
2024/04/22,20:00:00,24.72
2024/04/22,21:00:00,27.12
2024/04/22,22:00:00,29.24
2024/04/22,23:00:00,28.4
2024/04/23,00:00:00,26.82
2024/04/23,01:00:00,26.46
2024/04/23,02:00:00,26.39
2024/04/23,03:00:00,26.74
2024/04/23,04:00:00,27.88
2024/04/23,05:00:00,29.11
2024/04/23,06:00:00,30.68
2024/04/23,07:00:00,34.39
2024/04/23,08:00:00,42.62
2024/04/23,09:00:00,56.92
2024/04/23,10:00:00,74.15
2024/04/23,11:00:00,38.96
2024/04/23,12:00:00,28.2
2024/04/23,13:00:00,22.89
2024/04/23,14:00:00,17.49
2024/04/23,15:00:00,14.72
2024/04/23,16:00:00,13.67
2024/04/23,17:00:00,14.87
2024/04/23,18:00:00,16.04
2024/04/23,19:00:00,15.03
2024/04/23,20:00:00,15.18
2024/04/23,21:00:00,16.7
2024/04/23,22:00:00,17.81
2024/04/23,23:00:00,18.28
2024/04/24,00:00:00,18.34
2024/04/24,01:00:00,18.93
2024/04/24,02:00:00,19.64
2024/04/24,03:00:00,20.63
2024/04/24,04:00:00,22.36
2024/04/24,05:00:00,24.38
2024/04/24,06:00:00,26.97
2024/04/24,07:00:00,32.51
2024/04/24,08:00:00,41.29
2024/04/24,09:00:00,57.51
2024/04/24,10:00:00,77.3
2024/04/24,11:00:00,29.37
2024/04/24,12:00:00,19.57
2024/04/24,13:00:00,15.94
2024/04/24,14:00:00,15.09
2024/04/24,15:00:00,14.86
2024/04/24,16:00:00,13.38
2024/04/24,17:00:00,12.11
2024/04/24,18:00:00,11.47
2024/04/24,19:00:00,10.42
2024/04/24,20:00:00,12.36
2024/04/24,21:00:00,15.93
2024/04/24,22:00:00,19.02
2024/04/24,23:00:00,21.69
2024/04/25,00:00:00,22.93
2024/04/25,01:00:00,23.54
2024/04/25,02:00:00,23.05
2024/04/25,03:00:00,22.46
2024/04/25,04:00:00,22.57
2024/04/25,05:00:00,23.24
2024/04/25,06:00:00,24.82
2024/04/25,07:00:00,28.73
2024/04/25,08:00:00,34.79
2024/04/25,09:00:00,44.81
2024/04/25,10:00:00,63.39
2024/04/25,11:00:00,33.88
2024/04/25,12:00:00,24.25
2024/04/25,13:00:00,19.9
2024/04/25,14:00:00,16.53
2024/04/25,15:00:00,14.77
2024/04/25,16:00:00,13.81
2024/04/25,17:00:00,14.94
2024/04/25,18:00:00,16.82
2024/04/25,19:00:00,17.52
2024/04/25,20:00:00,21.09
2024/04/25,21:00:00,25.87
2024/04/25,22:00:00,29.07
2024/04/25,23:00:00,31.01
2024/04/26,00:00:00,32.16
2024/04/26,01:00:00,32.97
2024/04/26,02:00:00,33.66
2024/04/26,03:00:00,34.5
2024/04/26,04:00:00,35.73
2024/04/26,05:00:00,37.03
2024/04/26,06:00:00,38.9
2024/04/26,07:00:00,43.13
2024/04/26,08:00:00,50.91
2024/04/26,09:00:00,64.35
2024/04/26,10:00:00,93.39
2024/04/26,11:00:00,48.16
2024/04/26,12:00:00,34.36
2024/04/26,13:00:00,29.52
2024/04/26,14:00:00,29
2024/04/26,15:00:00,32.2
2024/04/26,16:00:00,35.07
2024/04/26,17:00:00,39.93
2024/04/26,18:00:00,46.19
2024/04/26,19:00:00,46.79
2024/04/26,20:00:00,45.41
2024/04/26,21:00:00,44.15
2024/04/26,22:00:00,40.78
2024/04/26,23:00:00,34.71
2024/04/27,00:00:00,32.49
2024/04/27,01:00:00,32.56
2024/04/27,02:00:00,32.85
2024/04/27,03:00:00,33.33
2024/04/27,04:00:00,34.73
2024/04/27,05:00:00,36.13
2024/04/27,06:00:00,37.73
2024/04/27,07:00:00,41.24
2024/04/27,08:00:00,47.17
2024/04/27,09:00:00,57.64
2024/04/27,10:00:00,72.52
2024/04/27,11:00:00,46.7
2024/04/27,12:00:00,37.89
2024/04/27,13:00:00,34.38
2024/04/27,14:00:00,34.86
2024/04/27,15:00:00,38.53
2024/04/27,16:00:00,40.84
2024/04/27,17:00:00,42.65
2024/04/27,18:00:00,45.13
2024/04/27,19:00:00,46.02
2024/04/27,20:00:00,46.23
2024/04/27,21:00:00,48.14
2024/04/27,22:00:00,49.13
2024/04/27,23:00:00,46.72
2024/04/28,00:00:00,45.04
2024/04/28,01:00:00,44.53
2024/04/28,02:00:00,44.13
2024/04/28,03:00:00,43.91
2024/04/28,04:00:00,44.27
2024/04/28,05:00:00,44.33
2024/04/28,06:00:00,44.28
2024/04/28,07:00:00,46.05
2024/04/28,08:00:00,50.32
2024/04/28,09:00:00,60.31
2024/04/28,10:00:00,76.21
2024/04/28,11:00:00,58.47
2024/04/28,12:00:00,52.05
2024/04/28,13:00:00,47.84
2024/04/28,14:00:00,43.34
2024/04/28,15:00:00,40.78
2024/04/28,16:00:00,37.44
2024/04/28,17:00:00,38.32
2024/04/28,18:00:00,42.89
2024/04/28,19:00:00,45.02
2024/04/28,20:00:00,47.62
2024/04/28,21:00:00,46.88
2024/04/28,22:00:00,41.58
2024/04/28,23:00:00,35.46
2024/04/29,00:00:00,32.83
2024/04/29,01:00:00,32.87
2024/04/29,02:00:00,33.2
2024/04/29,03:00:00,33.48
2024/04/29,04:00:00,34.64
2024/04/29,05:00:00,35.67
2024/04/29,06:00:00,36.51
2024/04/29,07:00:00,39.89
2024/04/29,08:00:00,46.31
2024/04/29,09:00:00,57.33
2024/04/29,10:00:00,76.26
2024/04/29,11:00:00,51.13
2024/04/29,12:00:00,43.61
2024/04/29,13:00:00,39.5
2024/04/29,14:00:00,34.83
2024/04/29,15:00:00,32.58
2024/04/29,16:00:00,31.97
2024/04/29,17:00:00,35.5
2024/04/29,18:00:00,41.33
2024/04/29,19:00:00,42.78
2024/04/29,20:00:00,40.46
2024/04/29,21:00:00,37.04
2024/04/29,22:00:00,32.21
2024/04/29,23:00:00,27.62
2024/04/30,00:00:00,25.55
2024/04/30,01:00:00,25.85
2024/04/30,02:00:00,26.77
2024/04/30,03:00:00,28.13
2024/04/30,04:00:00,30.38
2024/04/30,05:00:00,32.71
2024/04/30,06:00:00,35.37
2024/04/30,07:00:00,40.6
2024/04/30,08:00:00,48.5
2024/04/30,09:00:00,58.4
2024/04/30,10:00:00,67.36
2024/04/30,11:00:00,31.93
2024/04/30,12:00:00,22.63
2024/04/30,13:00:00,20.13
2024/04/30,14:00:00,20.36
2024/04/30,15:00:00,22.49
2024/04/30,16:00:00,23.86
2024/04/30,17:00:00,25.38
2024/04/30,18:00:00,26.47
2024/04/30,19:00:00,26.22
2024/04/30,20:00:00,27.76
2024/04/30,21:00:00,28.58
2024/04/30,22:00:00,27.79
2024/04/30,23:00:00,27.75
2024/05/01,00:00:00,28.64
2024/05/01,01:00:00,30.35
2024/05/01,02:00:00,31.97
2024/05/01,03:00:00,33.72
2024/05/01,04:00:00,35.89
2024/05/01,05:00:00,37.91
2024/05/01,06:00:00,40.01
2024/05/01,07:00:00,44.48
2024/05/01,08:00:00,52.87
2024/05/01,09:00:00,67.41
2024/05/01,10:00:00,82.81
2024/05/01,11:00:00,30.51
2024/05/01,12:00:00,16.29
2024/05/01,13:00:00,13.14
2024/05/01,14:00:00,15.19
2024/05/01,15:00:00,20.23
2024/05/01,16:00:00,24.81
2024/05/01,17:00:00,29.61
2024/05/01,18:00:00,34.28
2024/05/01,19:00:00,35.56
2024/05/01,20:00:00,34.19
2024/05/01,21:00:00,33.44
2024/05/01,22:00:00,31.91
2024/05/01,23:00:00,28.1
2024/05/02,00:00:00,25.8
2024/05/02,01:00:00,25.24
2024/05/02,02:00:00,25.14
2024/05/02,03:00:00,26
2024/05/02,04:00:00,27.74
2024/05/02,05:00:00,30.02
2024/05/02,06:00:00,32.36
2024/05/02,07:00:00,36.67
2024/05/02,08:00:00,44.56
2024/05/02,09:00:00,54.45
2024/05/02,10:00:00,64.08
2024/05/02,11:00:00,38.27
2024/05/02,12:00:00,28.09
2024/05/02,13:00:00,22.46
2024/05/02,14:00:00,19.59
2024/05/02,15:00:00,18.15
2024/05/02,16:00:00,16.54
2024/05/02,17:00:00,15.4
2024/05/02,18:00:00,14.25
2024/05/02,19:00:00,13.99
2024/05/02,20:00:00,15.71
2024/05/02,21:00:00,17.91
2024/05/02,22:00:00,19.62
2024/05/02,23:00:00,20.94
2024/05/03,00:00:00,21.21
2024/05/03,01:00:00,21.26
2024/05/03,02:00:00,21.06
2024/05/03,03:00:00,21.11
2024/05/03,04:00:00,21.63
2024/05/03,05:00:00,22.72
2024/05/03,06:00:00,24.92
2024/05/03,07:00:00,30.46
2024/05/03,08:00:00,38.31
2024/05/03,09:00:00,48.42
2024/05/03,10:00:00,70.16
2024/05/03,11:00:00,55.78
2024/05/03,12:00:00,56.49
2024/05/03,13:00:00,56.91
2024/05/03,14:00:00,50.02
2024/05/03,15:00:00,42.9
2024/05/03,16:00:00,38.87
2024/05/03,17:00:00,39.77
2024/05/03,18:00:00,39.32
2024/05/03,19:00:00,35.82
2024/05/03,20:00:00,31.82
2024/05/03,21:00:00,31.75
2024/05/03,22:00:00,33.24
2024/05/03,23:00:00,34.81
2024/05/04,00:00:00,35.35
2024/05/04,01:00:00,35.18
2024/05/04,02:00:00,33.81
2024/05/04,03:00:00,32.04
2024/05/04,04:00:00,31.28
2024/05/04,05:00:00,31.32
2024/05/04,06:00:00,31.7
2024/05/04,07:00:00,33.46
2024/05/04,08:00:00,38.29
2024/05/04,09:00:00,45.15
2024/05/04,10:00:00,59.22
2024/05/04,11:00:00,68.37
2024/05/04,12:00:00,63.47
2024/05/04,13:00:00,57.05
2024/05/04,14:00:00,42.04
2024/05/04,15:00:00,35.41
2024/05/04,16:00:00,29.73
2024/05/04,17:00:00,26.14
2024/05/04,18:00:00,23.06
2024/05/04,19:00:00,17.73
2024/05/04,20:00:00,15.24
2024/05/04,21:00:00,14.18
2024/05/04,22:00:00,12.5
2024/05/04,23:00:00,11
2024/05/05,00:00:00,10.63
2024/05/05,01:00:00,11.33
2024/05/05,02:00:00,11.85
2024/05/05,03:00:00,11.98
2024/05/05,04:00:00,12.56
2024/05/05,05:00:00,13.52
2024/05/05,06:00:00,14.48
2024/05/05,07:00:00,16.84
2024/05/05,08:00:00,22.17
2024/05/05,09:00:00,31
2024/05/05,10:00:00,42.15
2024/05/05,11:00:00,13.81
2024/05/05,12:00:00,7.25
2024/05/05,13:00:00,5.56
2024/05/05,14:00:00,6.11
2024/05/05,15:00:00,7.98
2024/05/05,16:00:00,8.7
2024/05/05,17:00:00,10.17
2024/05/05,18:00:00,12.66
2024/05/05,19:00:00,14.05
2024/05/05,20:00:00,15.57
2024/05/05,21:00:00,15.86
2024/05/05,22:00:00,14.78
2024/05/05,23:00:00,13.65
2024/05/06,00:00:00,13.37
2024/05/06,01:00:00,14.03
2024/05/06,02:00:00,15.03
2024/05/06,03:00:00,16.01
2024/05/06,04:00:00,17.01
2024/05/06,05:00:00,18.21
2024/05/06,06:00:00,19.87
2024/05/06,07:00:00,23.38
2024/05/06,08:00:00,30.21
